iter	Passed	Remaining
797	1525	386
798	1527	384
799	1528	382
800	1530	380
801	1532	378
802	1534	376
803	1536	374
804	1537	372
805	1539	370
806	1540	368
807	1541	366
808	1543	364
809	1544	362
810	1547	360
811	1549	358
812	1550	356
813	1552	354
814	1554	352
815	1555	350
816	1556	348
817	1558	346
818	1560	344
819	1562	342
820	1564	341
821	1566	339
822	1567	337
823	1569	335
824	1570	333
825	1571	331
826	1573	329
827	1575	327
828	1577	325
829	1579	323
830	1582	321
831	1583	319
832	1585	317
833	1586	315
834	1588	313
835	1589	311
836	1591	309
837	1593	307
838	1596	306
839	1598	304
840	1600	302
841	1601	300
842	1603	298
843	1604	296
844	1606	294
845	1609	293
846	1615	291
847	1617	289
848	1619	287
849	1620	285
850	1621	283
851	1623	282
852	1626	280
853	1629	278
854	1630	276
855	1632	274
856	1633	272
857	1635	270
858	1636	268
859	1638	266
860	1639	264
861	1642	262
862	1644	261
863	1646	259
864	1647	257
865	1649	255
866	1650	253
867	1652	251
868	1653	249
869	1654	247
870	1656	245
871	1658	243
872	1660	241
873	1662	239
874	1663	237
875	1665	235
876	1666	233
877	1668	231
878	1669	229
879	1671	227
880	1673	226
881	1675	224
882	1678	222
883	1679	220
884	1681	218
885	1682	216
886	1684	214
887	1685	212
888	1687	210
889	1689	208
890	1691	206
891	1693	204
892	1694	203
893	1695	201
894	1697	199
895	1698	197
896	1699	195
897	1701	193
898	1703	191
899	1705	189
900	1707	187
901	1709	185
902	1711	183
903	1712	181
904	1714	179
905	1715	178
906	1717	176
907	1720	174
908	1722	172
909	1724	170
910	1725	168
911	1726	166
912	1728	164
913	1729	162
914	1731	160
915	1732	158
916	1734	156
917	1736	155
918	1739	153
919	1740	151
920	1742	149
921	1743	147
922	1745	145
923	1746	143
924	1748	141
925	1749	139
926	1752	138
927	1754	136
928	1756	134
929	1757	132
930	1758	130
931	1760	128
932	1761	126
933	1763	124
934	1764	122
935	1766	120
936	1768	118
937	1770	117
938	1772	115
939	1773	113
940	1774	111
941	1776	109
942	1777	107
943	1779	105
944	1780	103
945	1782	101
946	1785	99
947	1786	98
948	1788	96
949	1789	94
950	1791	92
951	1792	90
952	1793	88
953	1795	86
954	1796	84
955	1799	82
956	1804	81
957	1806	79
958	1808	77
959	1809	75
960	1811	73
961	1814	71
962	1817	69
963	1819	67
964	1821	66
965	1822	64
966	1824	62
967	1826	60
968	1827	58
969	1832	56
970	1833	54
971	1835	52
972	1837	50
973	1838	49
974	1840	47
975	1842	45
976	1843	43
977	1847	41
978	1849	39
979	1851	37
980	1854	35
981	1855	34
982	1857	32
983	1859	30
984	1863	28
985	1866	26
986	1868	24
987	1869	22
988	1871	20
989	1873	18
990	1874	17
991	1878	15
992	1880	13
993	1881	11
994	1884	9
995	1886	7
996	1890	5
997	1893	3
998	1895	1
999	1897	0
991	1967	15
992	1969	13
993	1970	11
994	1972	9
995	1973	7
996	1975	5
997	1976	3
998	1978	1
999	1979	0
